dr,cr,net,holding,p&l,nifty_performance,strategy_performance
0.0,204651.16,-12764666.9,12747984.0,-16682.9,,
0.0,204651.16,-12764666.9,12662327.0,-102339.9,,
0.0,204651.16,-12764666.9,12623108.0,-141558.9,,
0.0,204651.16,-12764666.9,12556219.0,-208447.9,,
0.0,204651.16,-12764666.9,12659680.0,-104986.9,,
0.0,204651.16,-12764666.9,12677297.0,-87369.9,,
0.0,204651.16,-12764666.9,12675486.0,-89180.9,,
0.0,204651.16,-12764666.9,12717835.0,-46831.9,,
0.0,204651.16,-12764666.9,12609004.0,-155662.9,,
0.0,204651.16,-12764666.9,12653060.0,-111606.9,,
0.0,204651.16,-12764666.9,12506811.0,-257855.9,,
0.0,204651.16,-12764666.9,12440505.0,-324161.9,,
0.0,204651.16,-12764666.9,12656952.0,-107714.9,,
0.0,204651.16,-12764666.9,12754299.0,-10367.9,,
0.0,204651.16,-12764666.9,12686145.0,-78521.9,,
0.0,204651.16,-12764666.9,12626376.0,-138290.9,,
0.0,204651.16,-12764666.9,12831818.0,67151.1,,
0.0,204651.16,-12764666.9,12766759.0,2092.1,,
