,,,,dr,dr,net,Actual holding,p&l,Backtest Portfolio
2025-01-13 00:00:00,Settlement Posting-NG4211,DLV2-0711-NG4211/HPC39_6,2025-01-10 00:00:00,20068247.97,0,-20068247.97,19796424,-271823.9699999988,19165710
2025-01-14 00:00:00,Settlement Posting-NG4211,DLV2-0711-NG4211/HPC39_6,2025-01-13 00:00:00,20068247.97,0,-20068247.97,18997324,-1070923.9699999988,19432013
2025-01-15 00:00:00,Settlement Posting-NG4211,DLV2-0711-NG4211/HPC39_6,2025-01-14 00:00:00,20068247.97,0,-20068247.97,19309575,-758672.9699999988,19486188
2025-01-16 00:00:00,Settlement Posting-NG4211,DLV2-0711-NG4211/HPC39_6,2025-01-15 00:00:00,20068247.97,0,-20068247.97,19340730,-727517.9699999988,19491116
2025-01-17 00:00:00,Settlement Posting-NG4211,DLV2-0711-NG4211/HPC39_6,2025-01-16 00:00:00,20068247.97,0,-20068247.97,19345472,-722775.9699999988,19593015
2025-01-20 00:00:00,Settlement Posting-NG4211,DLV2-0711-NG4211/HPC39_6,2025-01-17 00:00:00,20068247.97,0,-20068247.97,19466386,-601861.9699999988,19657257
2025-01-21 00:00:00,Settlement Posting-NG4211,DLV2-0711-NG4211/HPC39_6,2025-01-20 00:00:00,20068247.97,0,-20068247.97,19546701,-521546.9699999988,18964221
2025-01-22 00:00:00,Settlement Posting-NG4211,DLV2-0711-NG4211/HPC39_6,2025-01-21 00:00:00,20068247.97,0,-20068247.97,18832632,-1235615.9699999988,18775885
2025-01-23 00:00:00,Settlement Posting-NG4211,DLV2-0711-NG4211/HPC39_6,2025-01-22 00:00:00,20068247.97,0,-20068247.97,18645379,-1422868.9699999988,19161992
2025-01-24 00:00:00,Settlement Posting-NG4211,DLV2-0711-NG4211/HPC39_6,2025-01-23 00:00:00,20068247.97,0,-20068247.97,19012265,-1055982.9699999988,18859721
2025-01-27 00:00:00,Settlement Posting-NG4211,DLV2-0711-NG4211/HPC39_6,2025-01-24 00:00:00,20068247.97,0,-20068247.97,18669521,-1398726.9699999988,18395745
